"C_HLEVEL"|"C_FULLNAME"|"C_NAME"|"C_SYNONYM_CD"|"C_VISUALATTRIBUTES"|"C_TOTALNUM"|"C_BASECODE"|"C_METADATAXML"|"C_FACTTABLECOLUMN"|"C_TABLENAME"|"C_COLUMNNAME"|"C_COLUMNDATATYPE"|"C_OPERATOR"|"C_DIMCODE"|"C_COMMENT"|"C_TOOLTIP"|"M_APPLIED_PATH"|"UPDATE_DATE"|"DOWNLOAD_DATE"|"IMPORT_DATE"|"SOURCESYSTEM_CD"|"VALUETYPE_CD"|"M_EXCLUSION_CD"|"C_PATH"|"C_SYMBOL"|"PCORI_SPECIMEN_SOURCE"|"PCORI_BASECODE"|"OMOP_SOURCECODE"
4|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6220001000004107\"|"Microbiology laboratory observable (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6220001000004107\"||" Clinical laboratory observable (observable entity), Microbiology laboratory observable (observable entity)"|"@"||||"NELexicon 20180329"|||||||
4|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\364709006\"|"Hematology observable (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\364709006\"||" Clinical laboratory observable (observable entity), Hematology observable (observable entity)"|"@"||||"NELexicon 20180329"|||||||
4|"\PCORI\LAB_RESULT_CM\LAB_LOINC\364708003\911753241000004102\"|"Urea nitrogen / Creatinine (Mass ratio) in seum or plasma (observable entity)"|"N"|"LA "|||"<ValueMetadata><Version>4.0</Version><CreationDateTime>20140202</CreationDateTime><TestID>LOINC:3097-3</TestID><TestName>BUN/Creat SerPl</TestName><DataType>PosFloat</DataType><Flagstouse>LH</Flagstouse><Oktousevalues>Y</Oktousevalues><UnitValues><NormalUnits>mg/mg creatinine</NormalUnits></UnitValues><LowofLowValue>0</LowofLowValue><HighofHighValue>250</HighofHighValue><LowofToxicValue></LowofToxicValue> <HighofToxicValue></HighofToxicValue></ValueMetadata>"|"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\364708003\911753241000004102\"||" Sample observable (observable entity), Urea nitrogen / Creatinine (Mass ratio) in seum or plasma (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6220001000004107\3181001000004100\"|"Yeast (Presence) in Genital specimen by Wet preparation (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6220001000004107\3181001000004100\"||" Clinical laboratory observable (observable entity), Microbiology laboratory observable (observable entity), Yeast (Presence) in Genital specimen by Wet preparation (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Molecular_Pathology\440001000004107\810001000004106\"|"Status of NR-21 mononucleotide microsatellite stability in excised malignant neoplasm (observable entity)"|"N"|"LH "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Molecular_Pathology\440001000004107\810001000004106\"||" Molecular pathology observable (observable entity)   , Tumor biomakers (observable entity)   , Status of NR-21 mononucleotide microsatellite stability in excised malignant neoplasm (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Molecular_Pathology\860001000004105\911752251000004109\"|"GNA11 sequence variant identified in excised malignant neoplasm (observable entity)"|"N"|"LH "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Molecular_Pathology\860001000004105\911752251000004109\"||" Molecular pathology observable (observable entity)   , Nucleotide sequence observed (observable entity), GNA11 sequence variant identified in excised malignant neoplasm (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\364709006\261001000004106\"|"Polychromasia (Presence) in Blood by Light microscopy (observable entity)"|"N"|"LA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\364709006\261001000004106\"||" Clinical laboratory observable (observable entity), Hematology observable (observable entity), Polychromasia (Presence) in Blood by Light microscopy (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\364709006\132251001000004109\"|"Sickle cells (Presence) in Blood by Light microscopy (observable entity)"|"N"|"LA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\364709006\132251001000004109\"||" Clinical laboratory observable (observable entity), Hematology observable (observable entity), Sickle cells (Presence) in Blood by Light microscopy (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Molecular_Pathology\440001000004107\1500001000004105\"|"Status of PMS2 gene expression by immunoperoxidase staining of excised malignant neoplasm (observable entity)"|"N"|"LH "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Molecular_Pathology\440001000004107\1500001000004105\"||" Molecular pathology observable (observable entity)   , Tumor biomakers (observable entity)   , Status of PMS2 gene expression by immunoperoxidase staining of excised malignant neoplasm (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Molecular_Pathology\1360001000004108\1500001000004105\"|"Status of PMS2 gene expression by immunoperoxidase staining of excised malignant neoplasm (observable entity)"|"N"|"LH "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Molecular_Pathology\1360001000004108\1500001000004105\"||" Molecular pathology observable (observable entity)   , Gene protein expression by immunoperoxidase staining of tissue (observable entity), Status of PMS2 gene expression by immunoperoxidase staining of excised malignant neoplasm (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\5320001000004100\40025391000004106\"|"Influenza virus A Ab (Units/volume) in Unspecified specimen (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\5320001000004100\40025391000004106\"||" Clinical laboratory observable (observable entity), Serology_immunology laboratory observable (observable entity), Influenza virus A Ab (Units/volume) in Unspecified specimen (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\4900001000004109\110401001000004105\"|"Lead (Mass/volume) in Blood (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\4900001000004109\110401001000004105\"||" Clinical laboratory observable (observable entity), Toxicology laboratory observable (observable entity), Lead (Mass/volume) in Blood (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\4900001000004109\131131001000004106\"|"Benzodiazepines (Presence) in Body fluid by Screen method (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\4900001000004109\131131001000004106\"||" Clinical laboratory observable (observable entity), Toxicology laboratory observable (observable entity), Benzodiazepines (Presence) in Body fluid by Screen method (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\364709006\40051991000004106\"|"Leukocytes (#/volume) in Unspecified specimen by Automated count (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\364709006\40051991000004106\"||" Clinical laboratory observable (observable entity), Hematology observable (observable entity), Leukocytes (#/volume) in Unspecified specimen by Automated count (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\364709006\121971001000004105\"|"Complement C4 (Mass/volume) in Body fluid (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\364709006\121971001000004105\"||" Clinical laboratory observable (observable entity), Hematology observable (observable entity), Complement C4 (Mass/volume) in Body fluid (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\5320001000004100\7091001000004101\"|"Glutamate decarboxylase 65 Ab (Units/volume) in Serum (observable entity)"|"N"|"LA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\5320001000004100\7091001000004101\"||" Clinical laboratory observable (observable entity), Serology_immunology laboratory observable (observable entity), Glutamate decarboxylase 65 Ab (Units/volume) in Serum (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\364709006\129871001000004106\"|"Rouleaux (Presence) in Blood by Light microscopy (observable entity)"|"N"|"LA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\364709006\129871001000004106\"||" Clinical laboratory observable (observable entity), Hematology observable (observable entity), Rouleaux (Presence) in Blood by Light microscopy (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6200001000004101\40005661000004100\"|"Glutamate (Moles/volume) in Unspecified specimen (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6200001000004101\40005661000004100\"||" Clinical laboratory observable (observable entity), Clinical chemistry observable (observable entity), Glutamate (Moles/volume) in Unspecified specimen (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\4900001000004109\40060011000004101\"|"Zonisamide (Mass/volume) in Serum or Plasma (observable entity)"|"N"|"LA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\4900001000004109\40060011000004101\"||" Clinical laboratory observable (observable entity), Toxicology laboratory observable (observable entity), Zonisamide (Mass/volume) in Serum or Plasma (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6220001000004107\40002071000004106\"|"Neisseria gonorrhoeae DNA (Presence) in Cervical mucus by Probe and target amplification method (observable entity)"|"N"|"LA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6220001000004107\40002071000004106\"||" Clinical laboratory observable (observable entity), Microbiology laboratory observable (observable entity), Neisseria gonorrhoeae DNA (Presence) in Cervical mucus by Probe and target amplification method (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6220001000004107\911751511000004100\"|"Microbial cellular component (Presence) in patient (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6220001000004107\911751511000004100\"||" Clinical laboratory observable (observable entity), Microbiology laboratory observable (observable entity), Microbial cellular component (Presence) in patient (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6330001000004101\8571001000004102\"|"Phosphatidylserine IgG Ab (Units/volume) in Serum (observable entity)"|"N"|"LA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6330001000004101\8571001000004102\"||" Clinical laboratory observable (observable entity), Coagulation laboratory observable (observable entity), Phosphatidylserine IgG Ab (Units/volume) in Serum (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6200001000004101\24323-8\"|"Comprehensive metabolic 2000 panel"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6200001000004101\24323-8\"||" Clinical laboratory observable (observable entity), Clinical chemistry observable (observable entity), Comprehensive metabolic 2000 panel"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6200001000004101\911753311000004106\"|"Glomerular filtration rate/1.73 sq M predicted among non-blacks (Volume Rate/Area) in Serum or Plasma by Creatinine-based formula (MDRD) (observable entity)"|"N"|"LA "|||"<ValueMetadata><Version>4.0</Version><CreationDateTime>20140202</CreationDateTime><TestID>LOINC:48642-3</TestID><TestName>Glomerular filtration rate/1.73 sq M.predicted.non black</TestName><DataType>PosFloat</DataType><Flagstouse>LH</Flagstouse><Oktousevalues>Y</Oktousevalues><UnitValues><NormalUnits>mL/min</NormalUnits></UnitValues><LowofLowValue>0</LowofLowValue><HighofLowValue>60</HighofLowValue><LowofHighValue>100</LowofHighValue><HighofHighValue>100</HighofHighValue><LowofToxicValue></LowofToxicValue> <HighofToxicValue></HighofToxicValue></ValueMetadata>"|"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6200001000004101\911753311000004106\"||" Clinical laboratory observable (observable entity), Clinical chemistry observable (observable entity), Glomerular filtration rate/1.73 sq M predicted among non-blacks (Volume Rate/Area) in Serum or Plasma by Creatinine-based formula (MDRD) (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\364709006\47191001000004106\"|"Band form neutrophils (#/volume) in Blood (observable entity)"|"N"|"FA "|||"<ValueMetadata><Version>4.0</Version><CreationDateTime>20140202</CreationDateTime><TestID>LOINC:26507-4</TestID><TestName>Neutrophils.band form</TestName><DataType>PosFloat</DataType><Flagstouse>LH</Flagstouse><Oktousevalues>Y</Oktousevalues><UnitValues><NormalUnits>10*3/mm3</NormalUnits></UnitValues><LowofLowValue>0</LowofLowValue><HighofHighValue>75</HighofHighValue><LowofToxicValue></LowofToxicValue> <HighofToxicValue></HighofToxicValue></ValueMetadata>"|"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\364709006\47191001000004106\"||" Clinical laboratory observable (observable entity), Hematology observable (observable entity), Band form neutrophils (#/volume) in Blood (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6220001000004107\73461001000004106\"|"Galactomannan Ag (Units/volume) in Serum or Plasma (observable entity)"|"N"|"LA "|||"<ValueMetadata><Version>4.0</Version><CreationDateTime>20140202</CreationDateTime><TestID>LOINC:35383-9</TestID><TestName>Galactomannan Ag SerPl-aCnc</TestName><DataType>PosFloat</DataType><Flagstouse>LH</Flagstouse><Oktousevalues>Y</Oktousevalues><UnitValues><NormalUnits>Index</NormalUnits></UnitValues><LowofLowValue>0</LowofLowValue><HighofHighValue>10</HighofHighValue><LowofToxicValue></LowofToxicValue> <HighofToxicValue></HighofToxicValue></ValueMetadata>"|"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6220001000004107\73461001000004106\"||" Clinical laboratory observable (observable entity), Microbiology laboratory observable (observable entity), Galactomannan Ag (Units/volume) in Serum or Plasma (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\5320001000004100\133081001000004101\"|"Thyroglobulin Ab (Units/volume) in Serum or Plasma (observable entity)"|"N"|"FA "|||"<ValueMetadata><Version>4.0</Version><CreationDateTime>20140202</CreationDateTime><TestID>LOINC:8098-6</TestID><TestName>Thyroglob Ab SerPl-aCnc</TestName><DataType>PosFloat</DataType><Flagstouse>LH</Flagstouse><Oktousevalues>Y</Oktousevalues><UnitValues><NormalUnits>IU/mL</NormalUnits></UnitValues><LowofLowValue>0</LowofLowValue><HighofHighValue>3000</HighofHighValue><LowofToxicValue></LowofToxicValue> <HighofToxicValue></HighofToxicValue></ValueMetadata>"|"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\5320001000004100\133081001000004101\"||" Clinical laboratory observable (observable entity), Serology_immunology laboratory observable (observable entity), Thyroglobulin Ab (Units/volume) in Serum or Plasma (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6200001000004101\40082151000004102\"|"Carbon dioxide, total (Moles/volume) in Unspecified specimen (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6200001000004101\40082151000004102\"||" Clinical laboratory observable (observable entity), Clinical chemistry observable (observable entity), Carbon dioxide, total (Moles/volume) in Unspecified specimen (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\4900001000004109\69591001000004103\"|"Benzodiazepines (Presence) in Serum or Plasma (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\4900001000004109\69591001000004103\"||" Clinical laboratory observable (observable entity), Toxicology laboratory observable (observable entity), Benzodiazepines (Presence) in Serum or Plasma (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Anatomic_Pathology\395531003\422796005\"|"Location of melanoma in situ in specimen with uninvolved lateral margin (observable entity)"|"N"|"LH "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Anatomic_Pathology\395531003\422796005\"||" Anatomic pathology observable (observable entity)   , Tumor observable (observable entity)   , Location of melanoma in situ in specimen with uninvolved lateral margin (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Anatomic_Pathology\395531003\399656008\"|"Status of tumor metastasis to regional lymph nodes (observable entity)"|"N"|"LH "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Anatomic_Pathology\395531003\399656008\"||" Anatomic pathology observable (observable entity)   , Tumor observable (observable entity)   , Status of tumor metastasis to regional lymph nodes (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\4900001000004109\40009581000004105\"|"Phencyclidine (Mass/volume) in Unspecified specimen (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\4900001000004109\40009581000004105\"||" Clinical laboratory observable (observable entity), Toxicology laboratory observable (observable entity), Phencyclidine (Mass/volume) in Unspecified specimen (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6200001000004101\911754041000004106\"|"Biochemical tumor marker (observable entity)"|"N"|"FA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6200001000004101\911754041000004106\"||" Clinical laboratory observable (observable entity), Clinical chemistry observable (observable entity), Biochemical tumor marker (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6330001000004101\14811001000004105\"|"Beta 2 glycoprotein 1 IgM Ab (Units/volume) in Serum (observable entity)"|"N"|"LA "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Clinical_Laboratory\6330001000004101\14811001000004105\"||" Clinical laboratory observable (observable entity), Coagulation laboratory observable (observable entity), Beta 2 glycoprotein 1 IgM Ab (Units/volume) in Serum (observable entity)"|"@"||||"NELexicon 20180329"|||||||
5|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Molecular_Pathology\860001000004105\2470001000004109\"|"CDKN2A nucleotide sequence detected in tissue(observable entity)"|"N"|"LH "||||"concept_cd"|"concept_dimension"|"concept_path"|"T"|"LIKE"|"\PCORI\LAB_RESULT_CM\LAB_LOINC\Molecular_Pathology\860001000004105\2470001000004109\"||" Molecular pathology observable (observable entity)   , Nucleotide sequence observed (observable entity), CDKN2A nucleotide sequence detected in tissue(observable entity)"|"@"||||"NELexicon 20180329"|||||||
